mode,auc_pr,f1_max,mAP,recall_at_1,recall_at_5,recall_at_10
fused,0.6416503577650057,0.7009655673716115,0.7567993945082633,0.8252279635258358,0.9792299898682876,0.9918946301925026
lidar_only,0.4813688924270231,0.6219222847394791,0.6612350701498577,0.8333333333333334,0.958966565349544,0.9635258358662614
camera_only,0.5971912258449701,0.6899744429994256,0.763682690072567,0.8389057750759878,0.9903748733535968,1.0
